# fonte: https://www.bcb.gov.br/content/estabilidadefinanceira/str1/ParticipantesSTR.csv
# baixado_em: 2026-09-24
# linhas: 463
# sha256_bruto: 3073c905bcf196c56c78e5cd8244588b7781c6aa02fd8659027d7f5529e3abb9
codigo,ispb,nome
188,33775974,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES"
189,07512441,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS"
190,03973814,SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS E MUNICIPAIS DO RIO GRANDE DO SUL
191,04257795,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.
194,20155248,UNIDA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
195,07799277,"VALOR S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
196,32648370,FAIR SOCIEDADE CORRETORA DE CÂMBIO S.A.
197,16501555,STONE INSTITUIÇÃO DE PAGAMENTO S.A.
208,30306294,Banco BTG Pactual S.A.
212,92894922,Banco Original S.A.
213,54403563,Banco Arbi S.A.
217,91884981,Banco John Deere S.A.
218,71027866,Banco BS2 S.A.
222,75647891,BANCO CRÉDIT AGRICOLE BRASIL S.A.
224,58616418,Banco Fibra S.A.
233,62421979,BANCO BMG SOLUÇÕES FINANCEIRAS S.A.
237,60746948,Banco Bradesco S.A.
241,31597552,BANCO CLASSICO S.A.
243,33923798,BANCO MASTER S/A - EM LIQUIDAÇÃO EXTRAJUDICIAL
246,28195667,Banco ABC Brasil S.A.
249,61182408,Banco Investcred Unibanco S.A.
250,50585090,BANCO BMG CONSIGNADO S.A.
254,14388334,PARANÁ BANCO S.A.
259,08609934,MONEYCORP BANCO DE CÂMBIO S.A.
260,18236120,NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO
265,33644196,Banco Fator S.A.
266,33132044,BANCO CEDULA S.A.
268,14511781,BARI COMPANHIA HIPOTECÁRIA
269,53518684,BANCO HSBC S.A.
271,27842177,"BPY CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A."
272,00250699,AGK CORRETORA DE CAMBIO S.A.
273,08253539,COOPERATIVA DE CREDITO SULCREDI AMPLEA
274,11581339,BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.
276,11970623,BANCO SENFF S.A.
278,27652684,Genial Investimentos Corretora de Valores Mobiliários S.A.
280,23862762,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO - EM LIQUIDAÇÃO EXTRAJUDICIAL"
281,76461557,Cooperativa de Crédito Rural Coopavel
283,89960090,RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA
288,62237649,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
289,94968518,EFX CORRETORA DE CÂMBIO LTDA.
290,08561701,PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.
292,28650236,GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
293,71590442,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.
296,04062902,OZ CORRETORA DE CÂMBIO S.A.
298,17772370,VIPS CORRETORA DE CÂMBIO S.A.
299,04814563,BANCO AFINZ S.A. - BANCO MÚLTIPLO
