# fonte: https://www.bcb.gov.br/content/estabilidadefinanceira/str1/ParticipantesSTR.csv
# baixado_em: 2026-09-24
# linhas: 463
# sha256_bruto: 3073c905bcf196c56c78e5cd8244588b7781c6aa02fd8659027d7f5529e3abb9
codigo,ispb,nome
591,02671743,BANVOX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL
592,45548763,INSTITUIÇÃO DE PAGAMENTOS MAPS LTDA.
593,27084098,TRANSFEERA INSTITUIÇÃO DE PAGAMENTO S.A
594,48703388,ASA SOCIEDADE DE CRÉDITO FINANCIAMENTO E INVESTIMENTO S.A.
595,19468242,IFOOD PAGO INSTITUIÇÃO DE PAGAMENTO S.A.
596,39696395,CACTVS INSTITUICAO DE PAGAMENTO S.A
597,34747388,ISSUER INSTITUICAO DE PAGAMENTO LTDA.
598,50626276,KONECT SOCIEDADE DE CRÉDITO DIRETO S/A
599,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
600,59118133,Banco Luso Brasileiro S.A.
604,31895683,Banco Industrial do Brasil S.A.
610,78626983,Banco VR S.A.
611,61820817,Banco Paulista S.A.
612,31880826,Banco Guanabara S.A.
613,60850229,Omni Banco S.A.
614,52440987,SANTS SOCIEDADE DE CRÉDITO DIRETO S.A.
615,37470405,SMART SOLUTIONS GROUP INSTITUICAO DE PAGAMENTO LTDA
619,49931906,TRIO INSTITUICAO DE PAGAMENTO LTDA.
620,51342763,REVOLUT SOCIEDADE DE CRÉDITO DIRETO S.A.
623,59285411,Banco Pan S.A.
626,61348538,BANCO C6 CONSIGNADO S.A.
630,58497702,BANCO LETSBANK S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL
632,52586293,Z-ON SOCIEDADE DE CRÉDITO DIRETO S.A.
633,68900810,Banco Rendimento S.A.
634,17351180,BANCO TRIANGULO S.A.
636,40112555,GIRO - SOCIEDADE DE CRÉDITO DIRETO S/A
637,60889128,BANCO SOFISA S.A.
643,62144175,Banco Pine S.A.
644,54647259,321 SOCIEDADE DE CRÉDITO DIRETO S.A.
646,91669747,"DM SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A"
651,25104230,PAGARE INSTITUICAO DE PAGAMENTO S.A.
653,61024352,BANCO PLENO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL
654,92874270,BANCO DIGIMAIS S.A.
655,59588111,Banco Votorantim S.A.
659,35210410,ONEKEY PAYMENTS INSTITUICAO DE PAGAMENTO SA
660,34471744,PAGME INSTITUIÇÃO DE PAGAMENTO LTDA.
661,55428859,FREEX SOCIEDADE CORRETORA DE CÂMBIO S.A.
662,32708748,WE PAY OUT INSTITUICAO DE PAGAMENTO LTDA.
663,44782130,ACTUAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
665,20018183,STARK BANK S.A. - INSTITUICAO DE PAGAMENTO
668,48632754,CELCOIN SOCIEDADE DE CRÉDITO DIRETO S.A.
669,47133056,TRANSFERO INSTITUICAO DE PAGAMENTO LTDA.
670,11491029,BSN PAGAMENTOS INSTITUIÇÃO DE PAGAMENTO LTDA
671,26264220,ZERO INSTITUIÇÃO DE PAGAMENTO S.A.
672,53505601,"STONE SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A."
673,08482873,COOPERATIVA DE CRÉDITO RURAL DO AGRESTE ALAGOANO - COOPERAGRE
674,27970567,HINOVA PAY INSTITUICAO DE PAGAMENTO S.A.
675,30723871,CASAS BAHIA PAY INSTITUIÇÃO DE PAGAMENTO LTDA.
676,35479592,"DUFRIO FINANCEIRA, CRÉDITO, FINANCIAMENTO E INVESTIMENTOS S.A."
677,33630661,GOWD INSTITUIÇÃO DE PAGAMENTO LTDA.
678,45716916,FIDEM SOCIEDADE DE CRÉDITO DIRETO S/A
679,36690516,PAY INSTITUICAO DE PAGAMENTO S.A.
680,55823094,DELTA GLOBAL SOCIEDADE DE CRÉDITO DIRETO S.A.
681,50871921,MT INSTITUICAO DE PAGAMENTO SA
682,46505612,MONERY INSTITUICAO DE PAGAMENTO S.A.
683,30507541,BRASIL CASH INSTITUICAO DE PAGAMENTO S.A
684,56392166,"HARMOS S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
685,26615279,TYCOON TECHNOLOGY INSTITUICAO DE PAGAMENTO S.A
686,12481100,BIZ INSTITUIÇÃO DE PAGAMENTO S.A.
687,35340796,INCO SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
688,43978697,KIKAI SOCIEDADE DE CRÉDITO DIRETO S.A.
690,16814330,BK INSTITUIÇÃO DE PAGAMENTO S.A.
691,49686505,WASU - WALLET SUPPORT INSTITUIÇÃO DE PAGAMENTO LTDA
692,56198117,ZYDI SOCIEDADE DE CRÉDITO DIRETO S.A.
693,32820711,EFEX INSTITUIÇÃO DE PAGAMENTO S.A.
694,54811417,WOOVI INSTITUICAO DE PAGAMENTO LTDA
695,35523352,BEES INSTITUICAO DE PAGAMENTO LTDA.
696,50032584,LOAN BRASIL SOCIEDADE DE CRÉDITO DIRETO S.A.
697,45056494,JM CORRETORA DE CÂMBIO LTDA.
698,58367961,BIT SOCIEDADE DE CRÉDITO DIRETO S.A.
699,59396084,BFC SOCIEDADE DE CRÉDITO DIRETO S.A.
700,53822116,MW INSTITUICAO DE PAGAMENTO LTDA
701,51118615,INTEGRAÇÃO DE CRÉDITO E COBRANÇA SOCIEDADE DE CRÉDITO DIRETO S.A.
703,10440482,GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO
704,44663846,FESTOR INSTITUIÇÃO DE PAGAMENTO LTDA.
707,62232889,Banco Daycoval S.A.
708,33588252,BANCO INDUSCRED DE INVESTIMENTO S.A.
712,78632767,OURIBANK S.A. BANCO MÚLTIPLO
714,00411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
719,33884941,BANCO MASTER MÚLTIPLO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL
741,00517645,BANCO RIBEIRAO PRETO S.A.
743,00795423,Banco Semear S.A.
745,33479023,Banco Citibank S.A.
747,01023570,Banco Rabobank International Brasil S.A.
748,01181521,BANCO COOPERATIVO SICREDI S.A.
751,29030467,Scotiabank Brasil S.A. Banco Múltiplo
752,01522368,Banco BNP Paribas Brasil S.A.
753,74828799,Novo Banco Continental S.A. - Banco Múltiplo
754,76543115,Banco Sistema S.A.
755,62073200,Bank of America Merrill Lynch Banco Múltiplo S.A.
756,02038232,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB
757,02318507,BANCO KEB HANA DO BRASIL S.A.
759,42963742,BANSUR JM SOCIEDADE DE CRÉDITO DIRETO S/A
760,34139916,EMCASH SERVIÇOS FINANCEIROS SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
761,53842122,"URBANO S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
763,56106523,VUE INSTITUIÇÃO DE PAGAMENTO S.A.
764,04306351,INDEPENDÊNCIA COOPERATIVA DE CRÉDITO E INVESTIMENTO - INDEPENDÊNCIA COOPERATIVA DE CRÉDITO
765,37753531,PAGSMILE INSTITUIÇÃO DE PAGAMENTO LTDA.
766,52833288,LB PAY INSTITUIÇÃO DE PAGAMENTO LTDA
767,62264924,QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS LTDA
768,20443996,"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
769,24313102,99PAY INSTITUICAO DE PAGAMENTO S.A.
770,38320462,V3 INSTITUICAO DE PAGAMENTO S.A.
771,57824223,WX INSTITUICAO DE PAGAMENTO LTDA
772,20833992,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO CENTRO UNIVERSITÁRIO NEWTON PAIVA LTDA. - CREDIPAIVA
773,53908413,KIWIFY INSTITUICAO DE PAGAMENTO LTDA
774,33959738,MOVA SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
775,47381104,CONTAAZUL INSTITUICAO DE PAGAMENTO LTDA.
778,58674454,PB SOCIEDADE DE CREDITO DIRETO S.A.
780,12102128,SAFETYPAY BRASIL INSTITUICAO DE PAGAMENTO LTDA
781,58006471,BARU DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
783,31680151,SWAP INSTITUIÇÃO DE PAGAMENTO S.A.
785,53058329,LA FINTECA INSTITUICAO DE PAGAMENTO LTDA
786,52076716,AWX BRASIL  INSTITUICAO DE PAGAMENTO LTDA
787,10789035,ATTRUS INSTITUIÇÃO DE PAGAMENTO S/A
788,35713491,PROTOTYPE INSTITUICAO DE PAGAMENTO S.A.
789,57654096,APUSDIGITAL INSTITUICAO DE PAGAMENTO LTDA
790,54024532,MAX INSTITUIÇÃO DE PAGAMENTO LTDA
791,62448932,"MULTIPLIKE FINANCEIRA S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
792,44921281,NIXFIN SOCIEDADE DE CRÉDITO DIRETO S.A.
793,61021673,"MAGALUPAY - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
794,44323831,ATUAL SOCIEDADE CORRETORA DE CÂMBIO LTDA
795,52067630,BANCO TRATON BRASIL S.A.
804,32343119,MÊNTORE INSTITUIÇÃO DE PAGAMENTO S.A.
